;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
OphioH327gp3197;II;+;5.121.958;5.124.672;2.715;1.080;12.059.890;12.062.604;0;0;904;FAD dependent oxidoreductase superfamily;Grosmannia clavigera;Grosmannia clavigera;;;fad dependent oxidoreductase superfamily;5;"P:oxidation-reduction process; F:oxidoreductase activity; P:proteolysis; F:metallopeptidase activity; F:peptidase activity";;;;N;;;
OphioH327gp3198;II;-;5.125.368;5.126.235;868;695;12.063.300;12.064.167;1;58;269;Putative uncharacterized protein;Colletotrichum gloeosporioides;Ophiostoma piceae;;;hypothetical protein GLRG_09234;0;-;;;;Y;;;
OphioH327gp3199;II;+;5.126.960;5.127.757;798;724;12.064.892;12.065.689;0;0;265;Bacilysin biosynthesis oxidoreductase BacC;Colletotrichum gloeosporioides;Ophiostoma piceae;K00540;"E1.-.-.-; unclassified metabolism";short chain dehydrogenase;3;"F:oxidoreductase activity; F:nucleotide binding; P:oxidation-reduction process";-;;;N;;;
OphioH327gp3200;II;-;5.127.868;5.128.969;1.102;110;12.065.800;12.066.901;1;52;349;Alcohol dehydrogenase;Togninia minima;Ophiostoma piceae;;;alcohol dehydrogenase;4;"F:oxidoreductase activity; F:nucleotide binding; P:oxidation-reduction process; F:zinc ion binding";-;;;N;;;
OphioH327gp3201;II;+;5.129.748;5.131.312;1.565;778;12.067.680;12.069.244;1;56;502;Aldehyde dehydrogenase;Togninia minima;Ophiostoma piceae;K00131;"E1.2.1.9, gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP) [EC:1.2.1.9]";aldehyde dehydrogenase;2;"F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; P:oxidation-reduction process";EC:1.2.1.0;;;N;;;
OphioH327gp3202;II;+;5.131.783;5.133.585;1.803;470;12.069.715;12.071.517;0;0;600;Putative sterigmatocystin biosynthesis monooxygenase stcW;Pestalotiopsis fici;Ophiostoma piceae;;;related to monooxigenase;0;-;;;;N;;;
OphioH327gp3203;II;+;5.135.522;5.137.555;2.034;1.936;12.073.454;12.075.487;1;60;657;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;mei5 protein;0;-;;;M23B;N;;;
OphioH327gp3204;II;-;5.138.108;5.139.082;975;552;12.076.040;12.077.014;0;0;324;Inositol oxygenase;Grosmannia clavigera;Ophiostoma piceae;K00469;"MIOX; inositol oxygenase [EC:1.13.99.1]";inositol oxygenase;5;"C:cytoplasm; F:iron ion binding; P:inositol catabolic process; F:inositol oxygenase activity; P:oxidation-reduction process";EC:1.13.99.1;;;N;;;
OphioH327gp3205;II;-;5.140.483;5.143.234;2.752;1.400;12.078.415;12.081.166;7;907;614;ARCA-like protein;Grosmannia clavigera;Ophiostoma piceae;;;arca-like protein;6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";;;;N;;;
OphioH327gp3206;II;+;5.145.537;5.147.291;1.755;2.302;12.083.469;12.085.223;0;0;584;Major facilitator superfamily transporter alpha-glucoside;Grosmannia clavigera;Ophiostoma piceae;K08141;"MAL; MFS transporter, SP family, general alpha glucoside:H+ symporter";maltose permease mal61;3;"P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity";-;;;N;;;
OphioH327gp3207;II;+;5.150.387;5.152.311;1.925;3.095;12.088.319;12.090.243;1;56;622;ATP-dependent RNA helicase dbp-3;Thielavia terrestris;Ophiostoma piceae;K14811;"DBP3; ATP-dependent RNA helicase DBP3 [EC:3.6.4.13]";atp-dependent rna helicase dbp3;5;"F:nucleic acid binding; F:ATP-dependent helicase activity; F:ATP binding; P:ribosome biogenesis; C:nucleus";-;;;N;;;
OphioH327gp3208;II;-;5.152.708;5.154.420;1.713;396;12.090.640;12.092.352;0;0;570;Diphthamide biosynthesis protein;Grosmannia clavigera;Ophiostoma piceae;K06316;"RFT1; oligosaccharidyl-lipid flippase family";oligosaccharide translocation protein rft1;5;"P:lipid transport; F:lipid transporter activity; C:cytoplasm; C:integral to membrane; P:peptidyl-diphthamide biosynthetic process from peptidyl-histidine";;;;N;;;
OphioH327gp3209;II;-;5.155.342;5.155.893;552;921;12.093.274;12.093.825;0;0;183;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp3210;II;-;5.156.682;5.160.014;3.333;788;12.094.614;12.097.946;1;435;965;Putative uncharacterized protein;Verticillium alfalfae;Ophiostoma piceae;;;conserved hypothetical protein;1;C:cellular_component;;;M23B;N;;;
OphioH327gp3211;II;-;5.162.403;5.164.272;1.870;2.388;12.100.335;12.102.204;1;61;602;Aif-like mitochondrial oxidoreductase;Grosmannia clavigera;Ophiostoma piceae;;;putidaredoxin reductase;7;"P:cell redox homeostasis; F:flavin adenine dinucleotide binding; F:metal ion binding; C:cytoplasm; F:oxidoreductase activity; F:2 iron, 2 sulfur cluster binding; P:oxidation-reduction process";-;;;N;;;
OphioH327gp3212;II;+;5.166.477;5.169.559;3.083;2.204;12.104.409;12.107.491;1;74;1.002;C6 zinc finger domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;c6 zinc finger domain containing protein;1;P:transcription, DNA-dependent;-;;;N;;;
OphioH327gp3213;II;+;5.172.451;5.173.344;894;2.891;12.110.383;12.111.276;0;0;297;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_3148;0;-;;;;N;;;
OphioH327gp3214;II;+;5.174.241;5.175.161;921;896;12.112.173;12.113.093;2;651;89;60S ribosomal protein L37;Fusarium fujikuroi;Sporothrix schenckii;K02922;"RP-L37e, RPL37; large subunit ribosomal protein L37e";60s ribosomal protein l37;5;"C:ribosome; F:metal ion binding; F:structural constituent of ribosome; P:translation; F:rRNA binding";;;;N;;;
OphioH327gp3215;II;-;5.175.657;5.175.953;297;495;12.113.589;12.113.885;1;63;77;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp3216;II;+;5.179.334;5.179.621;288;3.380;12.117.266;12.117.553;1;60;75;Putative uncharacterized protein;Nectria haematococca;Sporothrix schenckii;;;urea transporter;3;"P:transmembrane transport; C:integral to membrane; F:transporter activity";-;;;N;Y;;
OphioH327gp3217;II;+;5.180.081;5.182.132;2.052;459;12.118.013;12.120.064;1;540;503;Probable urea active transporter 1;Grosmannia clavigera;Ophiostoma piceae;;;urea transporter;3;"P:transmembrane transport; C:integral to membrane; F:transporter activity";-;;;N;Y;;
OphioH327gp3218;II;-;5.182.618;5.183.982;1.365;485;12.120.550;12.121.914;0;0;454;N-glycosylation protein eos1;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_3063;2;"C:endoplasmic reticulum membrane; P:cellular response to oxidative stress";;;;N;;;
OphioH327gp3219;II;+;5.185.363;5.186.496;1.134;1.380;12.123.295;12.124.428;1;57;358;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_3265;3;"P:intracellular protein transport; C:mitochondrial inner membrane presequence translocase complex; F:P-P-bond-hydrolysis-driven protein transmembrane transporter activity";;;;N;;;
OphioH327gp3220;II;-;5.186.837;5.188.192;1.356;340;12.124.769;12.126.124;0;0;451;Putative uncharacterized protein;Aureobasidium pullulans;Ophiostoma piceae;;;pre-mrna-splicing factor 38b;0;-;;;;N;;;
OphioH327gp3221;II;-;5.188.841;5.189.328;488;648;12.126.773;12.127.260;1;56;143;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp3222;II;+;5.190.885;5.193.701;2.817;1.556;12.128.817;12.131.633;0;0;938;Ribonucleases P/MRP protein subunit POP1;Grosmannia clavigera;Ophiostoma piceae;K01164;"POP1; ribonuclease P/MRP protein subunit POP1 [EC:3.1.26.5]";ribonuclease p complex subunit;3;"P:tRNA 5'-leader removal; F:ribonuclease P activity; P:RNA processing";;;;N;;;
OphioH327gp3223;II;-;5.193.869;5.195.380;1.512;167;12.131.801;12.133.312;1;66;481;Putative uncharacterized protein;Zymoseptoria tritici;Ophiostoma piceae;;;xaa-pro aminopeptidase family enzyme;4;"P:cellular process; F:hydrolase activity; F:aminopeptidase activity; C:cellular_component";;;;Y;;;
OphioH327gp3224;II;+;5.196.812;5.198.566;1.755;1.431;12.134.744;12.136.498;1;72;560;2-methylcitrate dehydratase;Grosmannia clavigera;Ophiostoma piceae;K01720;"E4.2.1.79, prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]";2-methylcitrate dehydratase;3;"F:2-methylcitrate dehydratase activity; P:propionate catabolic process, 2-methylcitrate cycle; F:2 iron, 2 sulfur cluster binding";EC:4.2.1.79;;;N;;;
OphioH327gp3225;II;-;5.198.859;5.200.419;1.561;292;12.136.791;12.138.351;1;67;497;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_8118;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp3226;II;+;5.200.821;5.201.230;410;401;12.138.753;12.139.162;1;101;102;Putative uncharacterized protein;Grosmannia clavigera;Grosmannia clavigera;;;---NA---;0;-;;;;Y;;;
OphioH327gp3227;II;+;5.202.214;5.204.070;1.857;983;12.140.146;12.142.002;2;135;573;Hsp70 chaperone;Grosmannia clavigera;Ophiostoma piceae;;;hsp70-like protein;1;F:ATP binding;-;;;N;;;
OphioH327gp3228;II;-;5.204.624;5.205.253;630;553;12.142.556;12.143.185;3;285;114;Putative uncharacterized protein;Fusarium fujikuroi;Ophiostoma piceae;;;hypothetical protein FPSE_07877;2;"P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp3229;II;+;5.206.830;5.213.329;6.500;1.576;12.144.762;12.151.261;2;116;2.127;Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12);Grosmannia clavigera;Ophiostoma piceae;K15163;"SRB8, MED12; mediator of RNA polymerase II transcription subunit 12, fungi type";transcription mediator subunit med12;4;"F:RNA polymerase II transcription cofactor activity; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter; F:molecular_function";;;;N;;;
OphioH327gp3230;II;+;5.215.208;5.217.096;1.889;1.878;12.153.140;12.155.028;2;167;573;Sulfate adenylyltransferase;Grosmannia clavigera;Ophiostoma piceae;K00958;"E2.7.7.4C, met3; sulfate adenylyltransferase [EC:2.7.7.4]";sulfate adenylyltransferase;8;"C:cytoplasm; P:hydrogen sulfide biosynthetic process; F:sulfate adenylyltransferase (ATP) activity; P:methionine biosynthetic process; F:ATP binding; P:cysteine biosynthetic process; P:sulfate assimilation; F:adenylylsulfate kinase activity";"EC:2.7.7.4; EC:2.7.1.25";;;N;;;
OphioH327gp3231;II;+;5.220.886;5.224.134;3.249;3.789;12.158.818;12.162.066;2;120;1.042;Transcriptional repressor protein YY1 (Yin and yang 1);Grosmannia clavigera;Ophiostoma piceae;;;zinc finger protein 2;3;"F:zinc ion binding; F:nucleic acid binding; C:intracellular";-;;;N;;;
OphioH327gp3232;II;-;5.224.978;5.225.826;849;843;12.162.910;12.163.758;1;63;261;Exosome complex component rrp40 (Ribosomal RNA-processing protein 40);Grosmannia clavigera;Ophiostoma piceae;K03681;"RRP40, EXOSC3; exosome complex component RRP40";exosome complex exonuclease rrp40;1;F:exonuclease activity;;;;N;;;
OphioH327gp3233;II;+;5.227.201;5.230.665;3.465;1.374;12.165.133;12.168.597;0;0;1.154;5-methylcytosine G/T mismatch-specific DNA glycosylase;Verticillium dahliae;Ophiostoma piceae;;;5-methylcytosine g t mismatch-specific dna glycosylase;0;-;;;;N;;;
OphioH327gp3234;II;+;5.231.085;5.231.428;344;419;12.169.017;12.169.360;1;74;89;Candidapepsin-5 (Aspartate protease 5);Verticillium dahliae;Verticillium dahliae;;;eukaryotic aspartyl protease;5;"P:proteolysis; F:aspartic-type endopeptidase activity; F:peptidase activity; C:cellular_component; F:hydrolase activity";;;A01A;N;;;
OphioH327gp3235;II;+;5.231.497;5.231.853;357;68;12.169.429;12.169.785;0;0;118;Secreted aspartic proteinase;Metarhizium anisopliae;Sporothrix schenckii;;;secreted aspartic proteinase;2;"P:proteolysis; F:aspartic-type endopeptidase activity";;;;N;;;
OphioH327gp3236;II;+;5.232.362;5.233.456;1.095;508;12.170.294;12.171.388;1;57;345;SH3 domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;sh3 domain containing protein;0;-;;;;N;;;
OphioH327gp3237;II;-;5.233.905;5.236.376;2.472;448;12.171.837;12.174.308;0;0;823;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_8200;0;-;;;;N;;;
OphioH327gp3238;II;-;5.239.849;5.240.043;195;3.472;12.177.781;12.177.975;0;0;64;Putative uncharacterized protein; ;Ophiostoma piceae;;;hypothetical protein CMQ_8089;0;-;;;;N;;;
OphioH327gp3239;II;+;5.242.344;5.243.465;1.122;2.300;12.180.276;12.181.397;0;0;373;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp3240;II;-;5.245.603;5.247.546;1.944;2.137;12.183.535;12.185.478;0;0;647;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp3241;II;-;5.256.852;5.257.661;810;9.305;12.194.784;12.195.593;0;0;269;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp3242;II;+;5.264.288;5.265.808;1.521;6.626;12.202.220;12.203.740;0;0;506;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_8102;0;-;;;;N;;;
OphioH327gp3243;II;-;5.267.379;5.267.699;321;1.570;12.205.311;12.205.631;0;0;106;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp3244;II;+;5.272.953;5.274.788;1.836;5.253;12.210.885;12.212.720;1;75;586;GDT1-like protein C17G8.08c;Grosmannia clavigera;Ophiostoma piceae;;;upf0016 domain protein;1;C:membrane;-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3245;II;-;5.275.682;5.276.267;586;893;12.213.614;12.214.199;1;88;165;DUF1348 domain containing protein;Grosmannia clavigera;Ophiostoma piceae;K09958;"K09958; hypothetical protein";duf1348-domain-containing protein;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3246;II;+;5.281.104;5.282.796;1.693;4.836;12.219.036;12.220.728;1;76;538;Septin-14;Grosmannia clavigera;Ophiostoma piceae;;;septin;2;"P:cell cycle; F:GTP binding";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3247;II;-;5.283.915;5.285.711;1.797;1.118;12.221.847;12.223.643;0;0;598;Pantothenate kinase CAB1 (Coenzyme A biosynthesis protein 1);Grosmannia clavigera;Ophiostoma piceae;K09680;"coaW; type II pantothenate kinase [EC:2.7.1.33]";pantothenate kinase;4;"F:kinase activity; F:exopeptidase activity; P:cellular metabolic process; P:primary metabolic process";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3248;II;+;5.287.982;5.289.682;1.701;2.270;12.225.914;12.227.614;0;0;566;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5189;2;"F:molecular_function; C:cellular_component";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3249;II;+;5.293.714;5.295.714;2.001;4.031;12.231.646;12.233.646;1;75;641;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5106;2;"F:molecular_function; P:biological_process";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3250;II;+;5.296.581;5.297.483;903;866;12.234.513;12.235.415;0;0;300;Glycoside hydrolase family 17 protein;Botrytis cinerea;Ophiostoma piceae;K01210;"E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]";glucan -beta-glucosidase;5;"P:carbohydrate metabolic process; F:1,3-beta-glucanosyltransferase activity; F:glucan endo-1,3-beta-D-glucosidase activity; C:fungal-type cell wall; F:cation binding";EC:3.2.1.39;GH17 ;;Y;;;roughly area acquired from O. ulmi
OphioH327gp3251;II;-;5.298.314;5.298.573;260;830;12.236.246;12.236.505;1;92;55;Putative uncharacterized protein;Grosmannia clavigera;Grosmannia clavigera;;;secreted protein;0;-;;;;Y;;;roughly area acquired from O. ulmi
OphioH327gp3252;II;-;5.299.725;5.301.962;2.238;1.151;12.237.657;12.239.894;0;0;745;Protein IVY1 (Interaction with VPS33 and YPT7 protein 1);Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5367;4;"P:filopodium assembly; F:cytoskeletal adaptor activity; F:SH3 domain binding; P:signal transduction";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3253;II;+;5.305.176;5.308.403;3.228;3.213;12.243.108;12.246.335;0;0;1.075;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3254;II;+;5.309.111;5.311.272;2.162;707;12.247.043;12.249.204;3;272;629;Autophagy-related protein 29;Grosmannia clavigera;Ophiostoma piceae;;;multidomain presynaptic cytomatrix related protein;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3255;II;-;5.311.780;5.314.143;2.364;507;12.249.712;12.252.075;1;60;767;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3256;II;+;5.321.398;5.324.040;2.643;7.254;12.259.330;12.261.972;0;0;880;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5235;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3257;II;-;5.325.798;5.326.499;702;1.757;12.263.730;12.264.431;0;0;233;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3258;II;-;5.327.942;5.328.622;681;1.442;12.265.874;12.266.554;0;0;226;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3259;II;+;5.333.767;5.335.494;1.728;5.144;12.271.699;12.273.426;2;138;529;High-affinity glucose transporter HXT2;Nectria haematococca;Ophiostoma piceae;K08139;"HXT; MFS transporter, SP family, sugar:H+ symporter";hexose transporter;3;"P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3260;II;+;5.336.142;5.338.630;2.489;647;12.274.074;12.276.562;1;59;809;Anaphase-promoting complex subunit 5 (20S cyclosome/APC complex protein apc5);Grosmannia clavigera;Ophiostoma piceae;K03352;"APC5; anaphase-promoting complex subunit 5";anaphase-promoting complex protein;3;"P:phosphate ion transport; C:membrane; F:inorganic phosphate transmembrane transporter activity";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3261;II;-;5.338.815;5.340.365;1.551;184;12.276.747;12.278.297;0;0;516;C6 zinc finger fungal transcription factor;Grosmannia clavigera;Ophiostoma piceae;;;zinc finger transcription factor;2;"F:zinc ion binding; C:intracellular";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3262;II;-;5.340.919;5.342.664;1.746;553;12.278.851;12.280.596;1;51;564;Steroid monooxygenase;Togninia minima;Ophiostoma piceae;;;steroid monooxygenase;4;"F:flavin adenine dinucleotide binding; F:N,N-dimethylaniline monooxygenase activity; P:oxidation-reduction process; F:NADP binding";EC:1.14.13.8;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3263;II;+;5.345.590;5.346.927;1.338;2.925;12.283.522;12.284.859;1;90;415;Esterase estB;Nectria haematococca;Ophiostoma piceae;;;beta-lactamase family protein;0;-;;;S12;N;;;roughly area acquired from O. ulmi
OphioH327gp3264;II;+;5.349.563;5.352.652;3.090;2.635;12.287.495;12.290.584;0;0;1.029;Regulatory protein alcR;Fusarium oxysporum;Ophiostoma piceae;;;c6 zinc finger domain containing protein;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3264.1;II;+;5.353.595;5.356.273;2.679;942;12.291.527;12.294.205;3;270;802;AP endonuclease 2;Grosmannia clavigera;Ophiostoma piceae;K10772;"APEX2; AP endonuclease 2 [EC:4.2.99.18]";;8;"P:DNA repair; P:nucleic acid phosphodiester bond hydrolysis; F:zinc ion binding; F:endonuclease activity; F:lyase activity; F:nuclease activity; C:intracellular; F:DNA binding";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3265;II;-;5.356.764;5.358.598;1.835;490;12.294.696;12.296.530;1;65;589;E3 ubiquitin-protein ligase RNF13;Grosmannia clavigera;Ophiostoma piceae;K15692;"RNF13, RZF; E3 ubiquitin-protein ligase RNF13 [EC:6.3.2.19]";pa domain protein;2;"F:metal ion binding; F:zinc ion binding";;;S08A;N;;;roughly area acquired from O. ulmi
OphioH327gp3266;II;+;5.360.920;5.361.628;709;2.321;12.298.852;12.299.560;3;334;124;Cytochrome c oxidase subunit;Grosmannia aurea;Ophiostoma piceae;K02266;"COX6A; cytochrome c oxidase subunit 6a";cytochrome c oxidase subunit;2;"C:mitochondrial respiratory chain complex IV; F:cytochrome-c oxidase activity";EC:1.9.3.1;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3267;II;-;5.362.246;5.365.430;3.185;617;12.300.178;12.303.362;1;80;1.034;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3268;II;+;5.370.483;5.370.906;424;5.052;12.308.415;12.308.838;3;211;70;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3269;II;+;5.373.810;5.376.332;2.523;2.903;12.311.742;12.314.264;0;0;840;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3270;II;-;5.379.143;5.379.870;728;2.810;12.317.075;12.317.802;3;170;185;MAT1-1-3 mating type protein;Grosmannia clavigera;Ophiostoma ulmi;;;mating-type protein mat1-1- partial;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3271;II;+;5.380.625;5.381.667;1.043;754;12.318.557;12.319.599;4;230;270;MAT1-1-2 mating type protein;Leptographium lundbergii;Ophiostoma ulmi;;;MAT1-1-2;0;-;;;;N;;;
OphioH327gp3272;II;+;5.382.020;5.384.356;2.337;352;12.319.952;12.322.288;1;60;758;MAT1-1-1 mating type protein;Leptographium lundbergii;Ophiostoma ulmi;;;mating-type protein mat1-1- partial;4;"F:mating pheromone activity; P:positive regulation of mating-type specific transcription, DNA-dependent; F:DNA binding; C:nucleus";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3273;II;-;5.386.132;5.389.626;3.495;1.775;12.324.064;12.327.558;4;387;1.035;Cytoskeleton assembly control protein;Grosmannia clavigera;Ophiostoma piceae;;;cytoskeleton assembly control protein sla2;3;"F:actin binding; F:phospholipid binding; C:integral to membrane";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3274;II;+;5.390.324;5.395.450;5.127;697;12.328.256;12.333.382;0;0;1.708;DNA polymerase zeta catalytic subunit (Protein reversionless 3);Grosmannia clavigera;Ophiostoma piceae;K02350;"POLZ1, rev3; DNA polymerase zeta [EC:2.7.7.7]";dna polymerase;3;"F:nucleic acid binding; P:nucleobase-containing compound metabolic process; F:nucleotidyltransferase activity";EC:2.7.7.0;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3275;II;-;5.395.802;5.396.401;600;351;12.333.734;12.334.333;0;0;199;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3276;II;+;5.397.561;5.398.077;517;1.159;12.335.493;12.336.009;1;76;146;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3277;II;-;5.398.792;5.399.195;404;714;12.336.724;12.337.127;1;77;108;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3278;II;-;5.399.651;5.401.542;1.892;455;12.337.583;12.339.474;1;77;604;Siderophore iron transporter;Byssochlamys spectabilis;Ophiostoma piceae;;;siderophore iron transporter;4;"C:membrane; P:transmembrane transport; P:transport; F:transporter activity";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3279;II;+;5.407.307;5.408.629;1.323;5.764;12.345.239;12.346.561;0;0;440;Reticulocyte binding protein 2 homolog A; ;Ophiostoma piceae;;;reticulocyte binding protein 2 homolog a;1;C:membrane;-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3280;II;-;5.414.990;5.416.849;1.860;6.360;12.352.922;12.354.781;8;651;402;GTP-binding protein YchF;Colletotrichum higginsianum;Ophiostoma piceae;K06942;"Unclassified; Poorly Characterized";protein;1;F:GTP binding;-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3281;II;+;5.423.538;5.426.667;3.130;6.688;12.361.470;12.364.599;1;85;1.014;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3282;II;+;5.427.701;5.429.562;1.862;1.033;12.365.633;12.367.494;1;122;579;Ubiquitin carboxyl-terminal hydrolase 6 (Ubiquitin thiollesterase 6);Grosmannia clavigera;Ophiostoma piceae;K11843;"USP14, UBP6; ubiquitin carboxyl-terminal hydrolase 14 [EC:3.1.2.15]";ubiquitin carboxyl-terminal hydrolase;3;"F:peptidase activity; P:mycelium development; P:proteolysis";-;;C19;N;;;roughly area acquired from O. ulmi
OphioH327gp3283;II;+;5.430.428;5.431.199;772;865;12.368.360;12.369.131;2;151;206;Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC);Myceliophthora thermophila;Ophiostoma piceae;K05755;"ARPC4; actin related protein 2/3 complex, subunit 4";arp2 3 complex 20 kda subunit;4;"C:Arp2/3 protein complex; P:actin cortical patch assembly; F:structural molecule activity; P:actin filament polymerization";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3284;II;-;5.431.842;5.435.439;3.598;642;12.369.774;12.373.371;4;370;1.075;Nonsense-mediated mRNA decay protein;Grosmannia clavigera;Ophiostoma piceae;;;nonsense-mediated mrna decay protein;3;"C:intracellular; P:intracellular protein transport; F:protein transporter activity";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3285;II;+;5.438.715;5.441.842;3.128;3.275;12.376.647;12.379.774;2;188;979;Protein mannosyltransferase 1;Grosmannia clavigera;Ophiostoma piceae;K00728;"POMT; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]";glycosyltransferase family 39 protein;3;"C:membrane; F:mannosyltransferase activity; P:protein O-linked glycosylation";-;GT39 ;;N;;;roughly area acquired from O. ulmi
OphioH327gp3287;II;-;5.442.972;5.444.193;1.222;1.129;12.380.904;12.382.125;2;118;367;Autophagy-related protein 3 (Autophagy-related E2-like conjugation enzyme ATG3);Chaetomium thermophilum;Ophiostoma piceae;K08343;"ATG3; autophagy-related protein 3";autophagy protein;6;"P:autophagy; F:molecular_function; C:cytoplasm; P:protein transport; P:transport; C:cellular_component";;;;N;;;roughly area acquired from O. ulmi
