"protein_ID";"gene_ID";"gene_ID_gff3";"protein_ID_gff3";"Protein";"Chr";"Strand";"Start";"End";"Size (nt)";"Final Description"
"5217";1983777;"g5199";"gene_5217";1983777;"g5199";"IV";"+";"1.893.478";"1.896.654";"3.177";"Transcription factor"
"5218";1983778;"g5200";"gene_5218";1983778;"g5200";"IV";"+";"1.901.301";"1.902.749";"1.449";"Putative uncharacterized protein"
"5219";1983779;"g5201";"gene_5219";1983779;"g5201";"IV";"-";"1.903.481";"1.904.131";"651";"Peptidyl-prolyl cis-trans isomerase"
"5220";1983780;"g5202";"gene_5220";1983780;"g5202";"IV";"+";"1.908.649";"1.909.708";"1.060";"Serine/threonine-protein phosphatase PP1"
"5221";1983781;"g5203";"gene_5221";1983781;"g5203";"IV";"-";"1.910.473";"1.911.027";"555";"Selenoprotein domain containing protein"
"5222";1983782;"g5204";"gene_5222";1983782;"g5204";"IV";"-";"1.912.296";"1.912.577";"282";"Guanine nucleotide-binding protein subunit gamma"
"5223";1983783;"g5205";"gene_5223";1983783;"g5205";"IV";"+";"1.917.526";"1.921.342";"3.817";"Eukaryotic translation initiation factor 3 subunit A (eIF3a)"
"5224";1983784;"g5206";"gene_5224";1983784;"g5206";"IV";"-";"1.922.194";"1.923.529";"1.336";"Glutamate 5-kinase"
"5225";1983785;"g5207";"gene_5225";1983785;"g5207";"IV";"+";"1.924.777";"1.925.616";"840";"Mitochondrial inner membrane protease atp-23"
"5226";1983786;"g5208";"gene_5226";1983786;"g5208";"IV";"-";"1.926.044";"1.927.378";"1.335";"Serine/threonine-protein kinase ark1 (Aurora-related kinase 1)"
"5227";1983787;"g5209";"gene_5227";1983787;"g5209";"IV";"-";"1.927.968";"1.928.912";"945";"Putative uncharacterized protein"
"5228";1983788;"g5210";"gene_5228";1983788;"g5210";"IV";"-";"1.930.012";"1.936.842";"6.831";"Separin (Cell division-associated protein bimB)"
"5229";1983789;"g5211";"gene_5229";1983789;"g5211";"IV";"+";"1.937.494";"1.938.243";"750";"Putative uncharacterized protein"
"5230";1983790;"g5212";"gene_5230";1983790;"g5212";"IV";"-";"1.938.314";"1.939.612";"1.299";"SIR2 family histone deacetylase"
"5231";1983791;"g5213";"gene_5231";1983791;"g5213";"IV";"+";"1.942.084";"1.943.389";"1.306";"Mitochondrial metal transporter 2"
"5232";1983792;"g5214";"gene_5232";1983792;"g5214";"IV";"+";"1.944.626";"1.946.493";"1.868";"D-xylulose kinase"
"5233";1983793;"g5215";"gene_5233";1983793;"g5215";"IV";"+";"1.949.644";"1.950.978";"1.335";"DNA polymerase epsilon subunit C"
"5234";1983794;"g5216";"gene_5234";1983794;"g5216";"IV";"+";"1.952.939";"1.956.501";"3.563";"Phosphatidylinositol 4-kinase"
"5235";1983795;"g5217";"gene_5235";1983795;"g5217";"IV";"-";"1.957.133";"1.960.197";"3.065";"Nucleoporin nup82 (Nuclear pore protein nup82)"
"5236";1983796;"g5218";"gene_5236";1983796;"g5218";"IV";"+";"1.960.784";"1.961.592";"809";"Nuclear cap-binding protein subunit 2"
"5237";1983797;"g5219";"gene_5237";1983797;"g5219";"IV";"-";"1.962.042";"1.962.569";"528";"54S ribosomal protein L31, mitochondrial (Negative regulator of cdc42 protein nrf20)"
"5238";1983798;"g5220";"gene_5238";1983798;"g5220";"IV";"+";"1.963.145";"1.963.771";"627";"Trafficking protein particle complex subunit 2"
"5239";1983799;"g5221";"gene_5239";1983799;"g5221";"IV";"-";"1.964.150";"1.964.649";"500";"Histone H4"
"5240";1983800;"g5222";"gene_5240";1983800;"g5222";"IV";"+";"1.967.259";"1.970.101";"2.843";"Putative uncharacterized protein"
"5241";1983801;"g5223";"gene_5241";1983801;"g5223";"IV";"-";"1.970.792";"1.971.397";"606";"Putative uncharacterized protein"
"5242";1983802;"g5224";"gene_5242";1983802;"g5224";"IV";"-";"1.973.178";"1.974.419";"1.242";"54S ribosomal protein L40, mitochondrial (YmL40)"
"5243";1983803;"g5225";"gene_5243";1983803;"g5225";"IV";"+";"1.977.863";"1.979.641";"1.779";"GTP-binding protein rhoA (Rho1 protein homolog)"
"5244";1983804;"g5226";"gene_5244";1983804;"g5226";"IV";"-";"1.980.739";"1.982.197";"1.459";"Putative uncharacterized protein"
"5245";1983805;"g5227";"gene_5245";1983805;"g5227";"IV";"-";"1.983.585";"1.984.293";"709";"Protein GET1 (Guided entry of tail-anchored proteins 1)"
"5246";1983806;"g5228";"gene_5246";1983806;"g5228";"IV";"+";"1.984.615";"1.985.763";"1.149";"Protein prenyltransferase alpha subunit repeat-containing protein 1"
"5247";1983807;"g5229";"gene_5247";1983807;"g5229";"IV";"-";"1.985.816";"1.986.511";"696";"Thioesterase superfamily member 4"
"5248";1983808;"g5230";"gene_5248";1983808;"g5230";"IV";"+";"1.988.308";"1.988.618";"311";"Putative uncharacterized protein"
"5249";1983809;"g5231";"gene_5249";1983809;"g5231";"IV";"+";"1.995.233";"1.996.924";"1.692";"Aspartic-type endopeptidase"
"5250";1983810;"g5232";"gene_5250";1983810;"g5232";"IV";"+";"1.998.210";"2.000.018";"1.809";"Aspartic-type endopeptidase"
"5251";1983811;"g5233";"gene_5251";1983811;"g5233";"IV";"+";"2.002.731";"2.002.918";"188";"Putative uncharacterized protein"
"5252";1983812;"g5234";"gene_5252";1983812;"g5234";"IV";"-";"2.003.679";"2.006.003";"2.325";"GRIP domain-containing protein C119.12"
"5253";1983813;"g5235";"gene_5253";1983813;"g5235";"IV";"-";"2.007.666";"2.008.862";"1.197";"Ribosomal biogenesis protein gar2"
"5254";1983814;"g5236";"gene_5254";1983814;"g5236";"IV";"-";"2.009.411";"2.011.238";"1.828";"CUE domain containing protein"
"5255";1983815;"g5237";"gene_5255";1983815;"g5237";"IV";"+";"2.012.551";"2.013.259";"709";"Charged multivesicular body protein 6 (Chromatin-modifying protein 6)"
"5256";1983816;"g5238";"gene_5256";1983816;"g5238";"IV";"+";"2.017.963";"2.021.277";"3.315";"Cyclin dependent kinase inhibitor"
"5257";1983817;"g5239";"gene_5257";1983817;"g5239";"IV";"-";"2.022.640";"2.023.113";"474";"Multistep phosphorelay regulator 1"
"5258";1983818;"g5240";"gene_5258";1983818;"g5240";"IV";"-";"2.030.618";"2.032.072";"1.455";"Putative uncharacterized protein"
"5259";1983819;"g5241";"gene_5259";1983819;"g5241";"IV";"+";"2.033.954";"2.038.175";"4.222";"Elongator complex protein 1 (Protein iki3)"
"5260";1983820;"g5242";"gene_5260";1983820;"g5242";"IV";"-";"2.038.825";"2.041.459";"2.635";"Putative uncharacterized protein"
"5261";1983821;"g5243";"gene_5261";1983821;"g5243";"IV";"+";"2.042.856";"2.045.131";"2.276";"ATP dependent RNA helicase"
"5262";1983822;"g5244";"gene_5262";1983822;"g5244";"IV";"+";"2.050.150";"2.052.652";"2.503";"Putative uncharacterized protein"
"5263";1983823;"g5245";"gene_5263";1983823;"g5245";"IV";"+";"2.056.124";"2.057.455";"1.332";"Uncharacterized serine-rich protein C11G7.01"
"5264";1983824;"g5246";"gene_5264";1983824;"g5246";"IV";"-";"2.058.353";"2.060.365";"2.013";"Carboxylesterase family protein"
"5265";1983825;"g5247";"gene_5265";1983825;"g5247";"IV";"-";"2.061.121";"2.063.473";"2.353";"Carboxylesterase family protein"
"5266";1983826;"g5248";"gene_5266";1983826;"g5248";"IV";"-";"2.064.800";"2.065.354";"555";"DASH complex subunit DAD2 (Outer kinetochore protein DAD2)"
"5267";1983827;"g5249";"gene_5267";1983827;"g5249";"IV";"+";"2.065.901";"2.068.277";"2.377";"Shugoshin family protein"
"5268";1983828;"g5250";"gene_5268";1983828;"g5250";"IV";"-";"2.068.828";"2.069.513";"686";"Vacuolar protein sorting-associated protein 29"
"5269";1983829;"g5251";"gene_5269";1983829;"g5251";"IV";"+";"2.070.956";"2.072.665";"1.710";"Aminotransferase class 5"
"5270";1983830;"g5252";"gene_5270";1983830;"g5252";"IV";"+";"2.074.434";"2.077.933";"3.500";"Exportin-1 (Caffeine resistance protein 2)"
"5271";1983831;"g5253";"gene_5271";1983831;"g5253";"IV";"+";"2.087.311";"2.088.507";"1.197";"Putative uncharacterized protein"
"5272";1983832;"g5254";"gene_5272";1983832;"g5254";"IV";"-";"2.090.567";"2.095.264";"4.698";"TBC domain-containing protein C1778.09"
"5273";1983833;"g5255";"gene_5273";1983833;"g5255";"IV";"-";"2.102.549";"2.110.781";"8.233";"Two-component system protein A"
"5274";1983834;"g5256";"gene_5274";1983834;"g5256";"IV";"-";"2.114.741";"2.116.524";"1.784";"UDP-galactopyranose mutase"
"5275";1983835;"g5257";"gene_5275";1983835;"g5257";"IV";"+";"2.122.195";"2.123.719";"1.525";"Probable sugar phosphate/phosphate translocator At3g17430"
"5276";1983836;"g5258";"gene_5276";1983836;"g5258";"IV";"-";"2.125.138";"2.126.199";"1.062";"60S ribosomal protein L27-A"
"5277";1983837;"g5259";"gene_5277";1983837;"g5259";"IV";"+";"2.126.802";"2.127.087";"286";"Putative uncharacterized protein"
"5278";1983838;"g5260";"gene_5278";1983838;"g5260";"IV";"-";"2.127.178";"2.127.996";"819";"Putative uncharacterized protein"
"5279";1983839;"g5261";"gene_5279";1983839;"g5261";"IV";"+";"2.128.987";"2.130.354";"1.368";"4-hydroxyphenylpyruvate dioxygenase"
"5280";1983840;"g5262";"gene_5280";1983840;"g5262";"IV";"-";"2.130.536";"2.133.153";"2.618";"Dil and ankyrin domain containing protein"
"5281";1983841;"g5263";"gene_5281";1983841;"g5263";"IV";"-";"2.134.353";"2.135.694";"1.342";"Allantoicase"
"5282";1983842;"g5264";"gene_5282";1983842;"g5264";"IV";"+";"2.137.545";"2.138.321";"777";"Cytochrome b561-like protein"
"5283";1983843;"g5265";"gene_5283";1983843;"g5265";"IV";"+";"2.142.339";"2.149.127";"6.789";"Peroxide stress-activated histidine kinase mak1"
"5284";1983844;"g5266";"gene_5284";1983844;"g5266";"IV";"-";"2.149.618";"2.152.287";"2.670";"Similar to ribosome biogenesis ATPase RIX7"
"5285";1983845;"g5267";"gene_5285";1983845;"g5267";"IV";"+";"2.152.971";"2.154.453";"1.483";"Putative uncharacterized protein"
"5286";1983846;"g5268";"gene_5286";1983846;"g5268";"IV";"+";"2.155.222";"2.157.356";"2.135";"Phosphoglycerate mutase family domain containing protein"
"5287";1983847;"g5269";"gene_5287";1983847;"g5269";"IV";"-";"2.158.005";"2.159.356";"1.352";"Cytochrome c"
"5288";1983848;"g5270";"gene_5288";1983848;"g5270";"IV";"+";"2.161.098";"2.161.970";"873";"Putative uncharacterized protein"
"5289";1983849;"g5271";"gene_5289";1983849;"g5271";"IV";"-";"2.162.295";"2.163.458";"1.164";"Exosome complex component RRP42 (Ribosomal RNA-processing protein 42)"
"5290";1983850;"g5272";"gene_5290";1983850;"g5272";"IV";"-";"2.163.734";"2.164.595";"862";"3 exoribonuclease family protein"
"5291";1983851;"g5273";"gene_5291";1983851;"g5273";"IV";"-";"2.166.075";"2.169.311";"3.237";"PSP1 domain containing protein"
"5292";1983852;"g5274";"gene_5292";1983852;"g5274";"IV";"-";"2.175.298";"2.176.239";"942";"NifU-like protein C1709.19c"
"5293";1983853;"g5275";"gene_5293";1983853;"g5275";"IV";"-";"2.176.793";"2.178.160";"1.368";"Mitochondrial carrier protein"
"5294";1983854;"g5276";"gene_5294";1983854;"g5276";"IV";"-";"2.180.297";"2.180.824";"528";"Mitochondrial carrier protein"
"5295";1983855;"g5277";"gene_5295";1983855;"g5277";"IV";"+";"2.181.433";"2.182.140";"708";"PRKR-interacting protein 1"
"5296";1983856;"g5278";"gene_5296";1983856;"g5278";"IV";"-";"2.182.678";"2.184.568";"1.891";"T-complex protein 1 subunit gamma"
"5297";1983857;"g5279";"gene_5297";1983857;"g5279";"IV";"+";"2.185.631";"2.186.563";"933";"Class 2 aldolase adducin domain containing protein"
"5298";1983858;"g5280";"gene_5298";1983858;"g5280";"IV";"-";"2.194.342";"2.194.941";"600";"Putative uncharacterized protein"
"5299";1983859;"g5282";"gene_5299";1983859;"g5282";"IV";"-";"2.210.996";"2.212.690";"1.695";"TFIIH basal transcription factor complex p47 subunit (Suppressor of stem-loop protein 1 homolog)"
"5300";1983860;"g5283";"gene_5300";1983860;"g5283";"IV";"-";"2.214.036";"2.215.514";"1.479";"Chitin synthase export chaperone"
"5301";1983861;"g5284";"gene_5301";1983861;"g5284";"IV";"+";"2.222.815";"2.224.753";"1.939";"Sugar transporter STL1"
"5302";1983862;"g5285";"gene_5302";1983862;"g5285";"IV";"+";"2.225.460";"2.226.491";"1.032";"Box C/D snoRNA protein 1"
"5303";1983863;"g5286";"gene_5303";1983863;"g5286";"IV";"-";"2.226.724";"2.228.181";"1.458";"Putative uncharacterized protein"
"5304";1983864;"g5287";"gene_5304";1983864;"g5287";"IV";"+";"2.236.022";"2.239.680";"3.659";"Ras guanine nucleotide exchange factor P (RasGEF domain-containing protein P)"
"5305";1983865;"g5288";"gene_5305";1983865;"g5288";"IV";"+";"2.240.306";"2.242.071";"1.766";"Putative uncharacterized protein"
"5306";1983866;"g5289";"gene_5306";1983866;"g5289";"IV";"-";"2.242.393";"2.242.635";"243";"Putative uncharacterized protein"
"5307";1983867;"g5290";"gene_5307";1983867;"g5290";"IV";"+";"2.244.071";"2.245.765";"1.695";"37S ribosomal protein S5, mitochondrial"
"5308";1983868;"g5291";"gene_5308";1983868;"g5291";"IV";"-";"2.246.081";"2.246.443";"363";"DASH complex subunit dad3 (Outer kinetochore protein dad3)"
"5309";1983869;"g5292";"gene_5309";1983869;"g5292";"IV";"-";"2.246.728";"2.249.304";"2.577";"Major facilitator superfamily transporter"
"5310";1983870;"g5293";"gene_5310";1983870;"g5293";"IV";"-";"2.250.920";"2.253.190";"2.271";"Serine/threonine-protein kinase nrc-2 (Non-repressible conidiation protein 2)"
"5311";1983871;"g5294";"gene_5311";1983871;"g5294";"IV";"-";"2.256.675";"2.258.975";"2.301";"Putative uncharacterized protein"
"5312";1983872;"g5295";"gene_5312";1983872;"g5295";"IV";"+";"2.259.952";"2.260.754";"803";"Short chain dehydrogenase reductase"
"5313";1983873;"g5296";"gene_5313";1983873;"g5296";"IV";"-";"2.261.516";"2.262.629";"1.114";"Translation machinery-associated protein 46 (DRG family-regulatory protein 1)"
"5314";1983874;"g5297";"gene_5314";1983874;"g5297";"IV";"+";"2.263.221";"2.263.753";"533";"Putative uncharacterized protein"
"5315";1983875;"g5298";"gene_5315";1983875;"g5298";"IV";"+";"2.264.829";"2.267.208";"2.380";"mRNA export protein mlo3 (RNA-annealing protein mlo3)"
"5316";1983876;"g5299";"gene_5316";1983876;"g5299";"IV";"-";"2.267.866";"2.268.673";"808";"Protein wos2 (p21)"
"5317";1983877;"g5300";"gene_5317";1983877;"g5300";"IV";"+";"2.270.872";"2.271.704";"833";"Vacuolar protein-sorting-associated protein 24 (DOA4-independent degradation protein 3)"
"5318";1983878;"g5302";"gene_5318";1983878;"g5302";"IV";"+";"2.290.180";"2.290.674";"495";"Putative uncharacterized protein"
"5319";1983879;"g5304";"gene_5319";1983879;"g5304";"IV";"+";"2.304.198";"2.310.093";"5.896";"WD g-beta repeat protein"
"5320";1983880;"g5305";"gene_5320";1983880;"g5305";"IV";"-";"2.310.668";"2.312.360";"1.693";"Mitogen-activated protein kinase kinase kinase 3 (MAPK/ERK kinase kinase 3)"
"5321";1983881;"g5306";"gene_5321";1983881;"g5306";"IV";"+";"2.312.979";"2.314.604";"1.626";"Putative uncharacterized protein"
"5322";1983882;"g5307";"gene_5322";1983882;"g5307";"IV";"+";"2.315.762";"2.317.072";"1.311";"Putative uncharacterized protein"
"5323";1983883;"g5308";"gene_5323";1983883;"g5308";"IV";"-";"2.317.270";"2.319.555";"2.286";"tRNA pseudouridine synthase A"
"5324";1983884;"g5309";"gene_5324";1983884;"g5309";"IV";"+";"2.320.047";"2.320.698";"652";"Rho-related GTP-binding protein RhoH"
"5325";1983885;"g5310";"gene_5325";1983885;"g5310";"IV";"-";"2.320.761";"2.321.174";"414";"DNA-directed RNA polymerase III subunit RPC9"
"5326";1983886;"g5311";"gene_5326";1983886;"g5311";"IV";"+";"2.323.589";"2.324.990";"1.402";"Ribose-phosphate pyrophosphokinase 5"
"5327";1983887;"g5312";"gene_5327";1983887;"g5312";"IV";"-";"2.326.284";"2.327.883";"1.600";"Cytosine-purine permease"
"5328";1983888;"g5313";"gene_5328";1983888;"g5313";"IV";"+";"2.329.871";"2.331.094";"1.224";"Candidate lipase from carbohydrate esterase family ce10"
"5329";1983889;"g5314";"gene_5329";1983889;"g5314";"IV";"-";"2.331.519";"2.335.182";"3.664";"Ubiquitin-conjugating enzyme E2Q-like protein CG4502"
"5330";1983890;"g5315";"gene_5330";1983890;"g5315";"IV";"+";"2.336.517";"2.337.851";"1.335";"Putative uncharacterized protein"
"5331";1983891;"g5316";"gene_5331";1983891;"g5316";"IV";"-";"2.339.157";"2.339.720";"564";"Diphosphoinositol polyphosphate phosphohydrolase aps1"
"5332";1983892;"g5317";"gene_5332";1983892;"g5317";"IV";"+";"2.343.870";"2.346.649";"2.780";"Arginyl-tRNA protein transferase 1"
"5333";1983893;"g5318";"gene_5333";1983893;"g5318";"IV";"+";"2.348.302";"2.349.616";"1.315";"60S ribosomal protein L15"
"5334";1983894;"g5319";"gene_5334";1983894;"g5319";"IV";"-";"2.351.572";"2.356.590";"5.019";"RNA-binding protein"
"5335";1983895;"g5320";"gene_5335";1983895;"g5320";"IV";"+";"2.363.422";"2.364.729";"1.308";"Transcription initiation factor IIF subunit beta (TFIIF medium subunit)"
"5336";1983896;"g5321";"gene_5336";1983896;"g5321";"IV";"+";"2.365.447";"2.366.475";"1.029";"Putative uncharacterized protein"
"5337";1983897;"g5322";"gene_5337";1983897;"g5322";"IV";"+";"2.366.841";"2.367.563";"723";"Putative uncharacterized protein"
"5338";1983898;"g5323";"gene_5338";1983898;"g5323";"IV";"-";"2.367.977";"2.372.302";"4.326";"Nucleoporin nup120 (Nuclear pore protein nup120)"
"5339";1983899;"g5324";"gene_5339";1983899;"g5324";"IV";"-";"2.373.058";"2.374.193";"1.136";"DNA repair protein rhp51 (RAD51 homolog)"
"5340";1983900;"g5325";"gene_5340";1983900;"g5325";"IV";"-";"2.374.809";"2.376.264";"1.456";"Putative uncharacterized protein"
"5341";1983901;"g5326";"gene_5341";1983901;"g5326";"IV";"-";"2.377.941";"2.379.863";"1.923";"Gamma-glutamyltranspeptidase"
"5342";1983902;"g5327";"gene_5342";1983902;"g5327";"IV";"+";"2.382.699";"2.384.180";"1.482";"Aminomethyltransferase"
"5343";1983903;"g5328";"gene_5343";1983903;"g5328";"IV";"+";"2.386.342";"2.388.064";"1.723";"General alpha-glucoside permease (Maltose permease MAL11)"
"5344";1983904;"g5329";"gene_5344";1983904;"g5329";"IV";"-";"2.388.275";"2.388.943";"669";"Carbonic anhydrase"
"5345";1983905;"g5330";"gene_5345";1983905;"g5330";"IV";"+";"2.390.011";"2.392.818";"2.808";"Alfa-L-rhamnosidase"
"5346";1983906;"g5331";"gene_5346";1983906;"g5331";"IV";"-";"2.393.454";"2.395.019";"1.566";"mRNA splicing factor RNA helicase"
"5347";1983907;"g5332";"gene_5347";1983907;"g5332";"IV";"+";"2.395.349";"2.395.815";"467";"Acylphosphatase"
"5348";1983908;"g5333";"gene_5348";1983908;"g5333";"IV";"-";"2.395.869";"2.399.234";"3.366";"Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (DEAH box protein 38)"
"5349";1983909;"g5334";"gene_5349";1983909;"g5334";"IV";"+";"2.399.626";"2.401.350";"1.725";"Uncharacterized WD repeat-containing protein C17D11.16"
"5350";1983910;"g5335";"gene_5350";1983910;"g5335";"IV";"+";"2.406.882";"2.408.006";"1.125";"Conserved hypothetical protein"
"5351";1983911;"g5335.1";"gene_5351";1983911;"g5335.1";"IV";"+";"2.412.249";"2.414.576";"2.328";"Endopolyphosphatase"
"5352";1983912;"g5336";"gene_5352";1983912;"g5336";"IV";"+";"2.421.309";"2.422.341";"1.033";"Cold-inducible RNA-binding protein (Glycine-rich RNA-binding protein CIRP)"
"5353";1983913;"g5337";"gene_5353";1983913;"g5337";"IV";"-";"2.423.049";"2.424.241";"1.193";"Cation transport protein"
"5354";1983914;"g5338";"gene_5354";1983914;"g5338";"IV";"+";"2.426.847";"2.428.189";"1.343";"Calcium-binding modulator protein"
"5355";1983915;"g5339";"gene_5355";1983915;"g5339";"IV";"-";"2.428.543";"2.430.465";"1.923";"Putative uncharacterized protein"
"5356";1983916;"g5340";"gene_5356";1983916;"g5340";"IV";"-";"2.431.201";"2.431.633";"433";"rRNA-processing protein CGR1"
"5357";1983917;"g5341";"gene_5357";1983917;"g5341";"IV";"+";"2.441.055";"2.444.834";"3.780";"Putative uncharacterized protein"
"5358";1983918;"g5342";"gene_5358";1983918;"g5342";"IV";"+";"2.445.706";"2.446.326";"621";"Ubiquitin-conjugating enzyme E2 pex4 (Peroxisome biogenesis factor 4)"
"5359";1983919;"g5343";"gene_5359";1983919;"g5343";"IV";"-";"2.455.540";"2.456.721";"1.182";"Alpha-mannosyltransferase"
"5360";1983920;"g5344";"gene_5360";1983920;"g5344";"IV";"+";"2.459.176";"2.460.088";"913";"Proteasome component PRE2 (Macropain subunit PRE2)"
"5361";1983921;"g5345";"gene_5361";1983921;"g5345";"IV";"-";"2.460.332";"2.461.837";"1.506";"Probable tRNA threonylcarbamoyladenosine biosynthesis protein pgp1, mitochondrial"
"5362";1983922;"g5346";"gene_5362";1983922;"g5346";"IV";"+";"2.462.127";"2.463.093";"967";"N-acetyltransferase"
"5363";1983923;"g5347";"gene_5363";1983923;"g5347";"IV";"+";"2.468.892";"2.469.959";"1.068";"Beta-glucanase"
"5364";1983924;"g5348";"gene_5364";1983924;"g5348";"IV";"-";"2.471.355";"2.472.843";"1.489";"Galactosyltransferase"
"5365";1983925;"g5349";"gene_5365";1983925;"g5349";"IV";"+";"2.479.239";"2.479.479";"241";"Putative uncharacterized protein"
"5366";1983926;"g5350";"gene_5366";1983926;"g5350";"IV";"+";"2.482.099";"2.485.884";"3.786";"Putative uncharacterized protein"
"5367";1983927;"g5351";"gene_5367";1983927;"g5351";"IV";"-";"2.486.137";"2.487.627";"1.491";"UV-damaged DNA-binding protein"
"5368";1983928;"g5352";"gene_5368";1983928;"g5352";"IV";"+";"2.488.404";"2.492.313";"3.910";"DNA damage-binding protein 1a (UV-damaged DNA-binding protein 1a)"
"5369";1983929;"g5353";"gene_5369";1983929;"g5353";"IV";"+";"2.493.106";"2.493.939";"834";"Ubiquinol-cytochrome c reductase iron-sulfur subunit"
"5370";1983930;"g5354";"gene_5370";1983930;"g5354";"IV";"+";"2.496.088";"2.497.410";"1.323";"Putative uncharacterized protein"
"5371";1983931;"g5355";"gene_5371";1983931;"g5355";"IV";"-";"2.497.605";"2.498.141";"537";"Putative uncharacterized protein"
"5372";1983932;"g5356";"gene_5372";1983932;"g5356";"IV";"-";"2.498.683";"2.499.090";"408";"Putative uncharacterized protein"
"5373";1983933;"g5357";"gene_5373";1983933;"g5357";"IV";"-";"2.499.491";"2.500.771";"1.281";"N-acetyltransferase-like protein"
"5374";1983934;"g5358";"gene_5374";1983934;"g5358";"IV";"-";"2.502.296";"2.504.380";"2.085";"T-complex protein 1 subunit alpha"
"5375";1983935;"g5359";"gene_5375";1983935;"g5359";"IV";"+";"2.505.305";"2.506.987";"1.683";"Proline-tRNA ligase"
"5376";1983936;"g5360";"gene_5376";1983936;"g5360";"IV";"-";"2.507.211";"2.509.403";"2.193";"IQ calmodulin-binding motif protein"
"5377";1983937;"g5361";"gene_5377";1983937;"g5361";"IV";"-";"2.510.486";"2.511.706";"1.221";"Leucine aminopeptidase"
"5378";1983938;"g5362";"gene_5378";1983938;"g5362";"IV";"-";"2.512.360";"2.514.051";"1.692";"Mitochondrial ATPase"
"5379";1983939;"g5363";"gene_5379";1983939;"g5363";"IV";"-";"2.515.172";"2.516.764";"1.593";"Initiation-specific alpha-mannosyltransferase"
"5380";1983940;"g5364";"gene_5380";1983940;"g5364";"IV";"-";"2.517.927";"2.519.478";"1.552";"Putative uncharacterized protein"
"5381";1983941;"g5365";"gene_5381";1983941;"g5365";"IV";"-";"2.520.116";"2.520.665";"550";"Putative uncharacterized protein"
"5382";1983942;"g5365.1";"gene_5382";1983942;"g5365.1";"IV";"-";"2.521.070";"2.521.525";"456";"Putative uncharacterized protein"
"5383";1983943;"g5366";"gene_5383";1983943;"g5366";"IV";"-";"2.521.795";"2.522.877";"1.083";"Zinc-binding alcohol dehydrogenase domain-containing protein cipB (Concanamycin-induced protein B)"
"5384";1983944;"g5367";"gene_5384";1983944;"g5367";"IV";"+";"2.523.238";"2.525.152";"1.915";"Uncharacterized transcriptional regulatory protein PB1A11.04c"
"5385";1983945;"g5368";"gene_5385";1983945;"g5368";"IV";"-";"2.525.194";"2.526.663";"1.470";"3-phytase B"
"5386";1983946;"g5369";"gene_5386";1983946;"g5369";"IV";"+";"2.532.334";"2.533.674";"1.341";"Lipase 4"
"5387";1983947;"g5370";"gene_5387";1983947;"g5370";"IV";"+";"2.534.457";"2.535.620";"1.164";"Galactose-1-phosphate uridylyltransferase"
"5388";1983948;"g5371";"gene_5388";1983948;"g5371";"IV";"-";"2.535.707";"2.536.279";"573";"Ergosterol biosynthetic protein 28"
"5389";1983949;"g5372";"gene_5389";1983949;"g5372";"IV";"+";"2.536.661";"2.537.662";"1.002";"3-ketoacyl-reductase"
"5390";1983950;"g5373";"gene_5390";1983950;"g5373";"IV";"+";"2.538.674";"2.542.965";"4.292";"Nucleoporin"
"5391";1983951;"g5374";"gene_5391";1983951;"g5374";"IV";"+";"2.543.841";"2.544.968";"1.128";"Acyl-thioesterase"
"5392";1983952;"g5375";"gene_5392";1983952;"g5375";"IV";"-";"2.545.436";"2.546.409";"974";"Putative uncharacterized protein"
"5393";1983953;"g5376";"gene_5393";1983953;"g5376";"IV";"-";"2.548.377";"2.549.324";"948";"Uncharacterized isomerase slr1019"
"5394";1983954;"g5377";"gene_5394";1983954;"g5377";"IV";"-";"2.549.831";"2.551.096";"1.266";"Cell cycle control protein"
"5395";1983955;"g5378";"gene_5395";1983955;"g5378";"IV";"-";"2.552.301";"2.553.785";"1.485";"Pre-mRNA-processing factor 19 homolog (PRP19/PSO4 homolog)"
"5396";1983956;"g5379";"gene_5396";1983956;"g5379";"IV";"+";"2.554.374";"2.554.974";"601";"Probable allantoinase 1"
"5397";1983957;"g5380";"gene_5397";1983957;"g5380";"IV";"+";"2.555.669";"2.556.499";"831";"Cytochrome c oxidase subunit 4, mitochondrial (Cytochrome c oxidase polypeptide IV)"
"5398";1983958;"g5381";"gene_5398";1983958;"g5381";"IV";"-";"2.557.102";"2.557.653";"552";"Putative uncharacterized protein"
"5399";1983959;"g5382";"gene_5399";1983959;"g5382";"IV";"-";"2.558.249";"2.559.666";"1.418";"Glycosyl hydrolase family 16"
"5400";1983960;"g5383";"gene_5400";1983960;"g5383";"IV";"-";"2.561.907";"2.562.441";"535";"Putative uncharacterized protein"
"5401";1983961;"g5384";"gene_5401";1983961;"g5384";"IV";"+";"2.563.227";"2.563.877";"651";"Putative uncharacterized protein"
"5402";1983962;"g5385";"gene_5402";1983962;"g5385";"IV";"-";"2.565.821";"2.567.154";"1.334";"MYB DNA-binding domain protein"
"5403";1983963;"g5386";"gene_5403";1983963;"g5386";"IV";"-";"2.575.681";"2.576.487";"807";"Putative uncharacterized protein"
"5404";1983964;"g5387";"gene_5404";1983964;"g5387";"IV";"+";"2.583.514";"2.584.767";"1.254";"Putative uncharacterized protein"
